📺深圳源,#genre#
CCTV-1综合,http://113.118.14.135:808/hls/19/index.m3u8
CCTV-2财经,http://113.118.14.135:808/hls/20/index.m3u8
CCTV-3高清测试,http://113.118.14.135:808/hls/91/index.m3u8
CCTV-4中文国际,http://113.118.14.135:808/hls/22/index.m3u8
CCTV-5高清测试,http://113.118.14.135:808/hls/93/index.m3u8
CCTV-6高清测试,http://113.118.14.135:808/hls/94/index.m3u8
CCTV-7国防军事,http://113.118.14.135:808/hls/25/index.m3u8
CCTV-8,http://113.118.14.135:808/hls/96/index.m3u8
CCTV-9纪录,http://113.118.14.135:808/hls/27/index.m3u8
CCTV-10科教,http://113.118.14.135:808/hls/28/index.m3u8
CCTV-11戏曲,http://113.118.14.135:808/hls/29/index.m3u8
CCTV-12社会与法,http://113.118.14.135:808/hls/30/index.m3u8
CCTV-13新闻,http://113.118.14.135:808/hls/31/index.m3u8
CCTV-14少儿,http://113.118.14.135:808/hls/32/index.m3u8
CCTV-15高清,http://113.118.14.135:808/hls/102/index.m3u8
CCTV-16奥林匹克,http://113.118.14.135:808/hls/169/index.m3u8
CCTV-17农业,http://113.118.14.135:808/hls/35/index.m3u8
金鹰卡通,http://113.118.14.135:808/hls/69/index.m3u8
广东移动,http://113.118.14.135:808/hls/14/index.m3u8
CETV-1,http://113.118.14.135:808/hls/122/index.m3u8
广东大湾区卫视,http://113.118.14.135:808/hls/132/index.m3u8
广东新闻,http://113.118.14.135:808/hls/5/index.m3u8
风云足球,http://113.118.14.135:808/hls/133/index.m3u8
岭南戏曲,http://113.118.14.135:808/hls/16/index.m3u8
经济科教,http://113.118.14.135:808/hls/4/index.m3u8
内蒙古卫视,http://113.118.14.135:808/hls/60/index.m3u8
广东影视,http://113.118.14.135:808/hls/6/index.m3u8
甘肃卫视,http://113.118.14.135:808/hls/119/index.m3u8
广东少儿,http://113.118.14.135:808/hls/175/index.m3u8
广东综艺(4k),http://113.118.14.135:808/hls/9/index.m3u8
湖南卫视,http://113.118.14.135:808/hls/36/index.m3u8
江苏卫视,http://113.118.14.135:808/hls/38/index.m3u8
浙江卫视高清,http://113.118.14.135:808/hls/37/index.m3u8
兵团卫视,http://113.118.14.135:808/hls/7/index.m3u8
安徽卫视,http://113.118.14.135:808/hls/40/index.m3u8
北京卫视,http://113.118.14.135:808/hls/41/index.m3u8
天津卫视,http://113.118.14.135:808/hls/42/index.m3u8
山东卫视,http://113.118.14.135:808/hls/43/index.m3u8
江西卫视,http://113.118.14.135:808/hls/44/index.m3u8
深圳卫视,http://113.118.14.135:808/hls/45/index.m3u8
湖北卫视,http://113.118.14.135:808/hls/46/index.m3u8
辽宁卫视,http://113.118.14.135:808/hls/47/index.m3u8
黑龙江卫视,http://113.118.14.135:808/hls/48/index.m3u8
贵州卫视,http://113.118.14.135:808/hls/49/index.m3u8
河北卫视,http://113.118.14.135:808/hls/54/index.m3u8
广东公共,http://113.118.14.135:808/hls/1/index.m3u8
广东体育,http://113.118.14.135:808/hls/2/index.m3u8
东方卫视,http://113.118.14.135:808/hls/114/index.m3u8
新疆卫视,http://113.118.14.135:808/hls/65/index.m3u8
CETV2,http://113.118.14.135:808/hls/78/index.m3u8
中国交通,http://113.118.14.135:808/hls/172/index.m3u8
嘉佳卡通,http://113.118.14.135:808/hls/8/index.m3u8
金鹰纪实,http://113.118.14.135:808/hls/171/index.m3u8
青海卫视,http://113.118.14.135:808/hls/61/index.m3u8
重庆卫视,http://113.118.14.135:808/hls/53/index.m3u8
宁夏卫视,http://113.118.14.135:808/hls/106/index.m3u8
吉林延边卫视,http://113.118.14.135:808/hls/15/index.m3u8
河南卫视,http://113.118.14.135:808/hls/51/index.m3u8
纪实人文,http://113.118.14.135:808/hls/173/index.m3u8
厦门卫视,http://113.118.14.135:808/hls/17/index.m3u8
广东民生,http://113.118.14.135:808/hls/18/index.m3u8
世界地理,http://113.118.14.135:808/hls/11/index.m3u8
女性时尚,http://113.118.14.135:808/hls/12/index.m3u8
电视指南,http://113.118.14.135:808/hls/13/index.m3u8
CGTN俄语,http://113.118.14.135:808/hls/85/index.m3u8
CGTN阿拉伯语,http://113.118.14.135:808/hls/84/index.m3u8
CGTN法语,http://113.118.14.135:808/hls/82/index.m3u8
CGTN西班牙语,http://113.118.14.135:808/hls/81/index.m3u8
CGTN英文记录,http://113.118.14.135:808/hls/77/index.m3u8
CCTV4中文国际美洲,http://113.118.14.135:808/hls/77/index.m3u8
CCTV4中文国际欧洲,http://113.118.14.135:808/hls/67/index.m3u8
CCTV-NEWS,http://113.118.14.135:808/hls/34/index.m3u8
兵器科技,http://113.118.14.135:808/hls/21/index.m3u8
陕西卫视,http://113.118.14.135:808/hls/58/index.m3u8
西藏卫视,http://113.118.14.135:808/hls/64/index.m3u8
吉林卫视,http://113.118.14.135:808/hls/10/index.m3u8
财富天下,http://113.118.14.135:808/hls/75/index.m3u8
央视台球,http://113.118.14.135:808/hls/73/index.m3u8
山东教育,http://113.118.14.135:808/hls/72/index.m3u8
